translational_control,angular_control,pose_x,pose_y,pose_theta,linear_vel_x,linear_vel_y,angular_vel_z,pose_theta_cos,pose_theta_sin,slip_angle,steering_angle,LIDAR_0,LIDAR_1,LIDAR_2,LIDAR_3,LIDAR_4,LIDAR_5,LIDAR_6,LIDAR_7,LIDAR_8,LIDAR_9,LIDAR_10,LIDAR_11,LIDAR_12,LIDAR_13,LIDAR_14,LIDAR_15,LIDAR_16,LIDAR_17,LIDAR_18,LIDAR_19,LIDAR_20,LIDAR_21,LIDAR_22,LIDAR_23,LIDAR_24,LIDAR_25,LIDAR_26,LIDAR_27,LIDAR_28,LIDAR_29,LIDAR_30,LIDAR_31,LIDAR_32,LIDAR_33,LIDAR_34,LIDAR_35,LIDAR_36,LIDAR_37,LIDAR_38,LIDAR_39,LIDAR_40,LIDAR_41,LIDAR_42,LIDAR_43,LIDAR_44,LIDAR_45,LIDAR_46,LIDAR_47,LIDAR_48,LIDAR_49,LIDAR_50,LIDAR_51,LIDAR_52,LIDAR_53,LIDAR_54,LIDAR_55,LIDAR_56,LIDAR_57,LIDAR_58,LIDAR_59,LIDAR_60,LIDAR_61,LIDAR_62,LIDAR_63,LIDAR_64,LIDAR_65,LIDAR_66,LIDAR_67
10.0,0.0,-0.319,0.44,2.798,2.853,0.0,0.0,-0.942,0.337,0.0,0.0,0.698,0.653,0.662,0.709,0.694,0.711,0.711,0.691,0.754,0.758,0.749,0.832,0.86,0.854,0.855,0.857,0.928,0.963,1.018,1.077,1.069,1.169,1.236,1.295,1.432,1.567,1.693,1.867,2.142,2.429,2.867,3.505,4.552,6.678,11.554,27.159,28.616,18.113,11.432,8.285,6.623,5.427,4.701,4.11,3.673,3.242,3.001,2.738,2.567,2.392,2.261,2.116,2.038,1.97,1.881,1.759,1.735,1.673,1.61,1.609,1.505,1.519,1.494,1.429,1.436,1.383,1.385,1.363
10.0,0.0,-0.403,0.47,2.798,3.138,0.0,0.0,-0.942,0.337,0.0,0.0,0.678,0.678,0.675,0.673,0.694,0.711,0.718,0.74,0.715,0.759,0.779,0.764,0.819,0.808,0.853,0.86,0.954,0.957,0.972,1.061,1.083,1.169,1.207,1.26,1.385,1.574,1.702,1.894,2.188,2.486,2.935,3.537,4.594,6.567,11.471,27.059,28.479,18.148,11.326,8.353,6.523,5.464,4.62,4.033,3.607,3.333,3.04,2.777,2.563,2.378,2.251,2.128,2.011,1.941,1.875,1.808,1.722,1.656,1.58,1.588,1.541,1.512,1.46,1.448,1.403,1.41,1.395,1.344
10.0,0.0,-0.494,0.502,2.798,3.424,0.0,0.0,-0.942,0.337,0.0,0.0,0.672,0.662,0.721,0.734,0.697,0.666,0.706,0.699,0.755,0.768,0.755,0.778,0.81,0.809,0.824,0.866,0.859,0.931,0.983,0.998,1.075,1.112,1.253,1.283,1.415,1.556,1.66,1.845,2.121,2.401,2.84,3.467,4.627,6.513,11.38,26.93,28.411,18.389,11.562,8.369,6.566,5.524,4.667,4.061,3.637,3.329,3.021,2.818,2.561,2.418,2.311,2.168,2.075,1.945,1.83,1.832,1.755,1.687,1.608,1.593,1.543,1.493,1.483,1.453,1.446,1.421,1.368,1.384
10.0,0.0,-0.593,0.538,2.798,3.709,0.0,0.0,-0.942,0.337,0.0,0.0,0.655,0.658,0.659,0.704,0.708,0.704,0.685,0.671,0.729,0.747,0.734,0.739,0.799,0.838,0.833,0.856,0.913,0.908,0.964,1.028,1.062,1.082,1.18,1.312,1.427,1.497,1.704,1.863,2.132,2.424,2.762,3.448,4.529,6.39,11.277,26.815,28.256,18.477,11.454,8.435,6.642,5.428,4.686,4.129,3.675,3.246,2.992,2.803,2.574,2.443,2.278,2.159,2.072,1.977,1.902,1.774,1.761,1.69,1.637,1.552,1.565,1.531,1.474,1.472,1.453,1.386,1.449,1.375
10.0,0.0,-0.701,0.576,2.798,3.994,0.0,0.0,-0.942,0.337,0.0,0.0,0.68,0.682,0.68,0.678,0.641,0.672,0.683,0.681,0.674,0.735,0.729,0.758,0.745,0.774,0.831,0.866,0.856,0.903,0.972,0.993,1.097,1.087,1.197,1.308,1.351,1.464,1.632,1.844,2.034,2.308,2.79,3.434,4.446,6.267,11.129,26.688,28.148,18.447,11.508,8.45,6.671,5.478,4.724,4.164,3.765,3.331,3.035,2.773,2.631,2.422,2.284,2.129,2.049,1.98,1.943,1.818,1.765,1.753,1.631,1.626,1.535,1.521,1.488,1.487,1.454,1.44,1.438,1.383
10.0,0.0,-0.816,0.618,2.798,4.28,0.0,0.0,-0.942,0.337,0.0,0.0,0.663,0.678,0.66,0.672,0.668,0.695,0.683,0.711,0.711,0.71,0.713,0.766,0.782,0.794,0.803,0.833,0.884,0.889,0.937,0.985,1.107,1.084,1.219,1.227,1.363,1.489,1.635,1.78,2.058,2.325,2.788,3.394,4.344,6.165,11.025,26.569,28.043,18.491,11.671,8.527,6.738,5.457,4.761,4.178,3.758,3.352,3.023,2.785,2.656,2.438,2.275,2.139,2.071,1.936,1.924,1.827,1.739,1.729,1.636,1.611,1.574,1.53,1.46,1.511,1.45,1.466,1.421,1.418
10.0,0.0,-0.94,0.662,2.798,4.565,0.0,0.0,-0.942,0.337,0.0,0.0,0.619,0.664,0.673,0.663,0.671,0.659,0.667,0.687,0.685,0.724,0.703,0.757,0.766,0.805,0.787,0.795,0.843,0.88,0.972,0.969,1.086,1.119,1.122,1.253,1.346,1.408,1.606,1.777,2.035,2.328,2.685,3.392,4.217,6.196,10.908,26.418,27.881,18.671,11.734,8.546,6.71,5.537,4.814,4.196,3.786,3.319,3.107,2.791,2.656,2.446,2.287,2.169,2.052,1.961,1.91,1.835,1.718,1.744,1.672,1.611,1.565,1.517,1.505,1.504,1.418,1.468,1.405,1.444
10.0,0.0,-1.071,0.709,2.798,4.85,0.0,0.0,-0.942,0.337,0.0,0.0,0.609,0.609,0.671,0.652,0.66,0.658,0.664,0.668,0.721,0.703,0.692,0.679,0.71,0.789,0.79,0.809,0.884,0.894,0.95,0.977,1.006,1.078,1.11,1.245,1.335,1.467,1.625,1.789,1.975,2.261,2.693,3.381,4.351,6.129,10.741,26.226,27.784,18.843,11.712,8.508,6.727,5.504,4.782,4.219,3.795,3.371,3.088,2.807,2.654,2.438,2.316,2.163,2.063,1.961,1.94,1.867,1.743,1.742,1.667,1.617,1.581,1.527,1.554,1.491,1.501,1.475,1.432,1.445
10.0,0.0,-1.211,0.759,2.798,5.135,0.0,0.0,-0.942,0.337,0.0,0.0,0.604,0.612,0.66,0.669,0.666,0.662,0.669,0.677,0.685,0.664,0.697,0.698,0.748,0.75,0.772,0.853,0.871,0.865,0.874,0.993,0.993,1.068,1.123,1.215,1.334,1.394,1.531,1.749,1.968,2.25,2.569,3.258,4.309,6.144,10.614,26.066,27.542,19.01,11.886,8.687,6.893,5.677,4.814,4.245,3.833,3.399,3.079,2.858,2.685,2.461,2.307,2.201,2.062,1.986,1.908,1.87,1.773,1.736,1.693,1.639,1.616,1.53,1.545,1.497,1.485,1.462,1.434,1.453
10.0,0.0,-1.359,0.812,2.798,5.421,0.0,0.0,-0.942,0.337,0.0,0.0,0.615,0.59,0.621,0.661,0.661,0.602,0.598,0.645,0.684,0.708,0.732,0.695,0.76,0.757,0.767,0.769,0.828,0.843,0.89,0.965,0.978,1.021,1.126,1.224,1.294,1.372,1.535,1.676,1.932,2.225,2.673,3.149,4.169,5.996,10.46,25.884,27.36,18.984,11.864,8.718,6.88,5.656,4.801,4.233,3.836,3.363,3.099,2.838,2.729,2.496,2.313,2.198,2.121,2.016,1.932,1.898,1.767,1.767,1.71,1.632,1.604,1.575,1.525,1.493,1.513,1.479,1.444,1.432
-0.2919999957084656,3.5,-1.515,0.868,2.798,5.706,0.0,0.0,-0.942,0.337,0.0,0.0,0.621,0.629,0.609,0.596,0.624,0.631,0.698,0.681,0.65,0.663,0.651,0.712,0.744,0.746,0.742,0.775,0.836,0.831,0.863,0.961,0.982,1.055,1.094,1.213,1.262,1.401,1.485,1.679,1.82,2.209,2.557,3.092,4.055,5.873,10.285,25.725,27.221,19.162,11.995,8.826,6.888,5.682,4.957,4.233,3.786,3.516,3.146,2.927,2.697,2.541,2.358,2.241,2.127,2.038,1.976,1.88,1.827,1.801,1.686,1.668,1.608,1.569,1.553,1.542,1.492,1.512,1.466,1.471
-0.0829999968409538,3.5,-1.676,0.925,2.799,5.697,0.0,0.289,-0.942,0.336,0.003,0.096,0.637,0.626,0.648,0.637,0.613,0.62,0.62,0.654,0.676,0.676,0.66,0.725,0.715,0.713,0.759,0.765,0.814,0.834,0.847,0.91,0.947,1.04,1.073,1.16,1.197,1.321,1.45,1.656,1.893,2.163,2.605,3.12,4.005,5.672,10.124,25.492,27.046,18.498,11.812,8.806,7.013,5.837,4.923,4.343,3.784,3.522,3.209,2.938,2.644,2.589,2.433,2.268,2.136,2.045,1.973,1.904,1.8,1.782,1.681,1.686,1.614,1.634,1.548,1.563,1.512,1.464,1.475,1.453
3.7179999351501465,3.5,-1.837,0.981,2.816,5.695,0.0,1.186,-0.947,0.32,0.003,0.192,0.631,0.585,0.597,0.576,0.588,0.628,0.612,0.64,0.632,0.635,0.668,0.707,0.716,0.714,0.752,0.805,0.801,0.812,0.893,0.919,0.938,1.055,1.135,1.178,1.301,1.395,1.485,1.717,1.915,2.228,2.633,3.382,4.568,6.904,13.887,26.047,27.229,15.439,10.484,8.043,6.396,5.491,4.772,4.157,3.743,3.332,3.071,2.815,2.713,2.492,2.35,2.222,2.091,2.03,1.98,1.884,1.783,1.755,1.689,1.696,1.61,1.621,1.534,1.537,1.509,1.513,1.482,1.44
7.0,2.650000095367432,-2.001,1.035,2.86,5.806,0.0,2.07,-0.961,0.278,-0.013,0.288,0.603,0.612,0.602,0.588,0.595,0.648,0.649,0.637,0.652,0.713,0.699,0.681,0.731,0.761,0.776,0.774,0.815,0.877,0.924,0.987,1.034,1.076,1.156,1.281,1.33,1.578,1.706,1.995,2.249,2.732,3.365,4.538,6.728,14.966,25.892,27.053,15.446,10.619,8.043,6.375,5.5,4.799,4.183,3.78,3.331,3.07,2.848,2.648,2.541,2.366,2.248,2.161,2.039,1.994,1.849,1.822,1.778,1.701,1.704,1.634,1.649,1.549,1.557,1.513,1.493,1.479,1.445,1.447
4.952000141143799,-2.861999988555908,-2.17,1.084,2.927,6.016,0.0,2.604,-0.977,0.213,-0.04,0.367,0.606,0.644,0.61,0.603,0.598,0.633,0.696,0.655,0.685,0.689,0.687,0.669,0.744,0.784,0.794,0.875,0.867,0.909,0.991,1.031,1.15,1.176,1.31,1.434,1.582,1.841,2.115,2.449,2.955,3.943,5.493,9.565,24.698,26.408,19.512,12.204,8.93,7.134,5.924,5.036,4.44,3.867,3.516,3.148,2.976,2.776,2.563,2.41,2.251,2.162,2.06,1.985,1.918,1.841,1.767,1.751,1.653,1.668,1.617,1.586,1.565,1.559,1.498,1.491,1.492,1.454,1.458,1.424
7.0,-3.5,-2.347,1.127,3.013,6.165,0.0,3.155,-0.992,0.128,-0.074,0.282,0.62,0.605,0.624,0.625,0.669,0.691,0.7,0.698,0.754,0.754,0.753,0.815,0.849,0.854,0.875,0.951,0.993,1.092,1.166,1.233,1.362,1.434,1.675,1.82,2.097,2.436,3.006,3.931,5.561,9.546,24.557,26.272,19.326,12.365,9.024,7.068,5.9,5.003,4.443,3.841,3.517,3.183,2.971,2.771,2.577,2.396,2.245,2.129,2.053,1.996,1.935,1.816,1.767,1.754,1.663,1.701,1.601,1.598,1.545,1.539,1.488,1.446,1.499,1.463,1.464,1.422,1.421,1.439
7.0,-3.5,-2.531,1.161,3.102,6.375,0.0,2.406,-0.999,0.04,-0.111,0.186,0.665,0.659,0.652,0.704,0.707,0.693,0.733,0.756,0.777,0.863,0.867,0.886,0.888,0.959,1.06,1.106,1.216,1.225,1.366,1.519,1.704,1.917,2.226,2.528,3.139,4.094,5.88,9.963,24.436,26.047,19.136,11.831,8.703,6.87,5.857,4.997,4.306,3.81,3.441,3.122,2.894,2.691,2.551,2.339,2.243,2.121,2.031,1.965,1.886,1.812,1.792,1.686,1.661,1.653,1.554,1.503,1.536,1.502,1.503,1.427,1.479,1.462,1.436,1.413,1.426,1.432,1.448,1.396
7.0,-3.265000104904175,-2.722,1.187,-3.12,6.585,0.0,1.325,-1.0,-0.022,-0.126,0.09,0.671,0.702,0.759,0.723,0.769,0.754,0.777,0.821,0.859,0.95,0.952,1.023,1.097,1.11,1.224,1.338,1.363,1.502,1.631,1.873,2.099,2.367,2.953,3.699,4.877,7.204,14.991,25.211,26.328,14.869,10.134,7.74,6.272,5.202,4.494,4.047,3.596,3.216,2.916,2.783,2.532,2.416,2.269,2.193,2.01,1.931,1.865,1.822,1.722,1.706,1.679,1.581,1.573,1.541,1.55,1.486,1.424,1.446,1.378,1.433,1.423,1.435,1.39,1.382,1.39,1.397,1.429,1.441
7.0,-2.868000030517578,-2.921,1.205,-3.092,6.795,0.0,0.188,-0.999,-0.05,-0.118,-0.006,0.763,0.783,0.741,0.762,0.847,0.866,0.867,0.951,0.926,0.968,1.063,1.063,1.148,1.219,1.313,1.449,1.594,1.728,1.873,2.178,2.478,2.938,3.531,4.701,6.544,11.716,24.472,25.799,17.369,10.988,8.147,6.472,5.451,4.71,4.049,3.583,3.267,3.019,2.737,2.602,2.4,2.219,2.112,2.029,1.949,1.857,1.783,1.722,1.649,1.621,1.578,1.546,1.515,1.473,1.445,1.429,1.414,1.425,1.348,1.396,1.363,1.355,1.362,1.368,1.351,1.364,1.371,1.385
4.4710001945495605,-3.180000066757202,-3.127,1.217,-3.097,7.005,0.0,-0.843,-0.999,-0.045,-0.09,-0.092,0.769,0.781,0.842,0.868,0.856,0.859,0.931,0.952,1.03,1.053,1.097,1.185,1.199,1.3,1.425,1.534,1.669,1.749,2.018,2.283,2.572,3.02,3.74,4.828,6.81,11.991,24.24,25.475,18.234,11.222,8.214,6.405,5.245,4.495,3.925,3.477,3.224,2.922,2.683,2.493,2.309,2.166,2.09,1.973,1.881,1.818,1.701,1.658,1.603,1.575,1.493,1.451,1.423,1.428,1.419,1.405,1.363,1.383,1.357,1.309,1.323,1.32,1.28,1.304,1.318,1.367,1.341,1.322
7.0,0.527999997138977,-3.338,1.226,-3.13,7.139,0.0,-1.683,-1.0,-0.012,-0.051,-0.188,0.848,0.897,0.893,0.894,0.927,0.966,0.974,1.003,1.04,1.097,1.145,1.189,1.299,1.329,1.403,1.54,1.581,1.789,1.978,2.206,2.522,2.84,3.315,4.192,5.538,8.097,15.118,24.509,25.569,15.008,10.008,7.446,5.942,4.903,4.164,3.711,3.28,2.995,2.725,2.534,2.32,2.224,2.097,1.986,1.859,1.763,1.696,1.67,1.603,1.49,1.511,1.481,1.416,1.374,1.387,1.308,1.31,1.278,1.291,1.282,1.278,1.241,1.268,1.252,1.266,1.288,1.22,1.281
7.0,3.5,-3.554,1.235,3.095,7.349,0.0,-2.226,-0.999,0.046,-0.003,-0.172,0.885,0.917,0.935,0.938,0.96,0.972,0.968,1.07,1.082,1.124,1.164,1.197,1.288,1.301,1.405,1.495,1.625,1.673,1.902,2.059,2.237,2.51,2.94,3.395,4.178,5.347,7.507,12.348,23.686,25.079,17.705,10.67,7.663,6.002,4.984,4.217,3.675,3.293,2.914,2.677,2.519,2.277,2.108,2.021,1.889,1.796,1.736,1.661,1.577,1.539,1.464,1.459,1.406,1.379,1.314,1.309,1.279,1.247,1.28,1.234,1.212,1.216,1.187,1.214,1.2,1.217,1.189,1.246
5.609000205993652,-3.5,-3.776,1.247,3.029,7.559,0.0,-1.97,-0.994,0.112,0.047,-0.076,0.924,0.933,0.925,0.926,1.003,0.981,1.083,1.054,1.07,1.088,1.14,1.194,1.249,1.267,1.343,1.495,1.519,1.634,1.771,1.917,2.067,2.311,2.552,2.913,3.369,3.99,4.986,6.51,9.836,19.594,24.371,25.333,12.729,8.536,6.532,5.346,4.458,3.856,3.242,3.028,2.743,2.458,2.282,2.195,1.999,1.921,1.821,1.681,1.602,1.617,1.496,1.498,1.403,1.365,1.302,1.314,1.265,1.235,1.259,1.219,1.218,1.181,1.149,1.168,1.166,1.154,1.165,1.18
7.0,-3.5,-4.004,1.264,2.976,7.727,0.0,-1.525,-0.986,0.165,0.077,-0.172,0.934,0.925,1.016,0.977,1.031,1.011,1.061,1.063,1.096,1.131,1.167,1.163,1.254,1.279,1.324,1.412,1.505,1.595,1.739,1.792,1.962,2.154,2.38,2.57,2.984,3.424,4.16,4.926,6.436,9.318,17.201,23.959,24.992,13.578,8.876,6.635,5.284,4.345,3.754,3.329,2.919,2.63,2.429,2.24,2.087,1.958,1.847,1.714,1.647,1.605,1.456,1.459,1.393,1.363,1.325,1.268,1.238,1.205,1.195,1.148,1.166,1.125,1.127,1.163,1.106,1.085,1.105,1.105
7.0,3.5,-4.237,1.287,2.932,7.937,0.0,-1.533,-0.978,0.209,0.088,-0.268,0.971,0.987,1.017,1.025,1.031,1.088,1.061,1.054,1.142,1.165,1.179,1.196,1.231,1.23,1.358,1.43,1.523,1.573,1.667,1.764,1.903,2.068,2.202,2.491,2.757,3.087,3.525,4.236,5.173,6.785,9.846,18.069,23.782,24.695,13.666,8.615,6.387,5.042,4.147,3.518,3.123,2.822,2.587,2.343,2.124,1.984,1.852,1.783,1.653,1.594,1.53,1.429,1.427,1.346,1.304,1.248,1.254,1.226,1.146,1.189,1.147,1.105,1.137,1.1,1.063,1.089,1.07,1.06
7.0,-3.5,-4.475,1.319,2.883,8.147,0.0,-1.625,-0.967,0.256,0.101,-0.172,0.993,1.034,1.048,1.034,1.062,1.078,1.07,1.123,1.144,1.133,1.207,1.206,1.285,1.294,1.374,1.41,1.428,1.539,1.627,1.739,1.799,1.963,2.057,2.273,2.463,2.731,3.159,3.587,4.311,5.235,6.602,9.592,16.776,23.414,24.45,13.754,8.558,6.423,5.064,4.214,3.58,3.136,2.725,2.46,2.358,2.102,1.925,1.82,1.716,1.622,1.572,1.446,1.456,1.344,1.351,1.247,1.261,1.185,1.122,1.161,1.116,1.119,1.076,1.068,1.069,1.076,1.043,1.033
7.0,3.5,-4.718,1.361,2.837,8.357,0.0,-1.46,-0.954,0.3,0.111,-0.268,1.037,1.035,1.041,1.091,1.081,1.077,1.065,1.142,1.115,1.159,1.175,1.196,1.252,1.297,1.36,1.362,1.462,1.492,1.586,1.685,1.731,1.849,1.985,2.137,2.347,2.596,2.818,3.238,3.646,4.378,5.339,6.826,9.821,16.506,23.088,24.103,13.758,8.631,6.176,4.802,4.074,3.503,3.072,2.661,2.436,2.201,2.044,1.905,1.806,1.691,1.584,1.456,1.466,1.325,1.34,1.264,1.27,1.19,1.163,1.129,1.075,1.117,1.07,1.018,1.041,1.017,1.001,0.997
5.934000015258789,0.6240000128746033,-4.965,1.413,2.792,8.567,0.0,-1.466,-0.939,0.343,0.118,-0.172,1.022,1.031,1.108,1.076,1.065,1.126,1.113,1.13,1.165,1.159,1.18,1.205,1.247,1.287,1.329,1.308,1.403,1.437,1.545,1.625,1.631,1.752,1.864,1.999,2.159,2.41,2.569,2.879,3.31,3.739,4.325,5.361,6.902,9.831,16.562,22.935,23.828,14.119,8.654,6.256,4.89,3.992,3.391,2.97,2.7,2.372,2.179,1.974,1.887,1.72,1.585,1.548,1.474,1.395,1.364,1.271,1.261,1.207,1.168,1.155,1.136,1.11,1.067,1.041,1.035,1.038,0.991,1.003
7.0,3.311000108718872,-5.216,1.475,2.75,8.745,0.0,-1.21,-0.924,0.381,0.125,-0.153,1.065,1.086,1.054,1.058,1.089,1.104,1.07,1.148,1.132,1.133,1.188,1.182,1.222,1.261,1.244,1.34,1.353,1.421,1.475,1.574,1.633,1.686,1.779,1.916,2.038,2.197,2.457,2.664,2.973,3.311,3.778,4.507,5.501,7.067,10.098,16.649,22.668,23.635,13.419,8.255,6.008,4.796,3.902,3.43,2.989,2.583,2.337,2.139,1.987,1.844,1.778,1.657,1.505,1.429,1.416,1.328,1.3,1.222,1.222,1.194,1.133,1.11,1.099,1.04,1.049,1.017,1.015,1.015
